timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
2011,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-11,31-Dec-11,X,X,X,X,X,199000,23,67076,47,0.2,0.4,1,4.9,11,.,.,.,1
2012,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-12,31-Dec-12,X,X,X,X,X,215000,25,67076,47,0.2,0,0,0.4,1,.,.,.,1
2013,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-13,31-Dec-13,X,X,X,X,X,215000,43,67076,47,0.2,0.4,1,0,0,.,.,.,1
2014,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-14,31-Dec-14,X,X,X,X,X,227300,32,67076,47,0.2,0.4,1,0,0,.,.,.,1
2015,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-15,31-Dec-15,X,X,X,X,X,258500,45,67076,47,0.2,0.4,1,0,0,.,.,.,1
2016,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-16,31-Dec-16,X,X,X,X,X,276500,54,67076,47,0.2,0.4,1,0,0,.,.,.,1
1995,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-95,31-Dec-95,X,X,X,X,X,80500,68,49309,31,0.2,13,44,3.2,11,.,.,.,1
1996,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-96,31-Dec-96,X,X,X,X,X,85000,108,48924,21,0.3,10,35,3.8,13,.,.,.,1
1997,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-97,31-Dec-97,X,X,X,X,X,85511,96,48412,21,0.2,19,64,4.4,15,.,.,.,1
1998,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-98,31-Dec-98,X,X,X,X,X,84886,116,38788,28,0.2,20,69,7.3,25,.,.,.,1
1999,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-99,31-Dec-99,X,X,X,X,X,83650,112,43100,23,0,24,84,9,31,.,.,.,1
2000,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-00,31-Dec-00,X,X,X,X,X,95000,125,43598,24,0.1,22,76,8.1,28,.,.,.,1
2001,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-01,31-Dec-01,X,X,X,X,X,108600,124,54394,32,0.1,24,81,6.7,23,.,.,.,1
2002,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-02,31-Dec-02,X,X,X,X,X,115000,121,62082,58,0.1,32,110,6.4,22,.,.,.,1
2003,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-03,31-Dec-03,X,X,X,X,X,133000,104,69495,57,0.2,29,101,1.1,4,.,.,.,1
2004,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-04,31-Dec-04,X,X,X,X,X,149975,148,73011,72,0.2,25,89,2.8,10,.,.,.,1
2005,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-05,31-Dec-05,X,X,X,X,X,215000,169,73011,72,0.2,14,50,2.8,10,.,.,.,1
2006,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-06,31-Dec-06,X,X,X,X,X,250000,141,73011,72,0.2,15,54,2.2,8,.,.,.,1
2007,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-07,31-Dec-07,X,X,X,X,X,273475,122,73011,72,0.2,23,93,4,16,.,.,.,1
2008,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-08,31-Dec-08,X,X,X,X,X,320000,114,73011,72,0.2,29,121,18,77,.,.,.,1
2009,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-09,31-Dec-09,X,X,X,X,X,315000,122,73011,72,0.2,39,166,14,58,.,.,.,1
