timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012-16,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,6.7,X,X
2012-16,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,18,X,X
2012-16,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,9.2,X,X
2012-16,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,12,X,X
2012-16,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,2.7,X,X
2012-16,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,31,X,X
2012-16,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,9.3,X,X
2012-16,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,9.6,X,X
2012-16,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,69,X,X
2012-16,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,15,X,X
2012-16,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,14,X,X
2012-16,"Woodridge, Fort Lincoln, Gateway",Cluster 24,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,13,X,X
2012-16,"Union Station, Stanton Park, Kingman Park",Cluster 25,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,74,X,X
2012-16,"Capitol Hill, Lincoln Park",Cluster 26,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,54,X,X
2012-16,"Near Southeast, Navy Yard",Cluster 27,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,272,X,X
2012-16,Historic Anacostia,Cluster 28,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,21,X,X
2012-16,"Eastland Gardens, Kenilworth",Cluster 29,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-22,X,X
2012-16,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-1.6,X,X
2012-16,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,4.8,X,X
2012-16,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1-Jan-00,31-Dec-16,X,X,X,X,X,X,X,X,-2.8,X,X
