timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctUnemployed,Pct16andOverEmployed,PctUnemployed_m,Pct16andOverEmployed_m,indc
1990,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,1-Jan-90,31-Dec-90,8.6,60,.,.,1
1990,"Howard University, Le Droit Park, Cardozo/Shaw",Cluster 3,1-Jan-90,31-Dec-90,9.3,49,.,.,1
1990,"Georgetown, Burleith/Hillandale",Cluster 4,1-Jan-90,31-Dec-90,2.1,67,.,.,1
1990,"West End, Foggy Bottom, GWU",Cluster 5,1-Jan-90,31-Dec-90,4.3,60,.,.,1
1990,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,1-Jan-90,31-Dec-90,3.2,81,.,.,1
1990,"Shaw, Logan Circle",Cluster 7,1-Jan-90,31-Dec-90,9.8,63,.,.,1
1990,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,1-Jan-90,31-Dec-90,14,48,.,.,1
1990,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,1-Jan-90,31-Dec-90,8.6,68,.,.,1
1990,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,1-Jan-90,31-Dec-90,2.6,65,.,.,1
1990,"Friendship Heights, American University Park, Tenleytown",Cluster 11,1-Jan-90,31-Dec-90,2.8,69,.,.,1
1990,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,1-Jan-90,31-Dec-90,1.6,72,.,.,1
1990,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Cluster 13,1-Jan-90,31-Dec-90,2.1,65,.,.,1
1990,"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,1-Jan-90,31-Dec-90,2.8,69,.,.,1
1990,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,1-Jan-90,31-Dec-90,2.2,72,.,.,1
1990,"Colonial Village, Shepherd Park, North Portal Estates",Cluster 16,1-Jan-90,31-Dec-90,3.8,66,.,.,1
1990,"Takoma, Brightwood, Manor Park",Cluster 17,1-Jan-90,31-Dec-90,6,64,.,.,1
1990,"Brightwood Park, Crestwood, Petworth",Cluster 18,1-Jan-90,31-Dec-90,7.6,61,.,.,1
1990,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Cluster 19,1-Jan-90,31-Dec-90,6.6,59,.,.,1
1990,"North Michigan Park, Michigan Park, University Heights",Cluster 20,1-Jan-90,31-Dec-90,5.9,61,.,.,1
1990,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,1-Jan-90,31-Dec-90,11,49,.,.,1
1990,"Brookland, Brentwood, Langdon",Cluster 22,1-Jan-90,31-Dec-90,9.5,54,.,.,1
1990,"Ivy City, Arboretum, Trinidad, Carver Langston",Cluster 23,1-Jan-90,31-Dec-90,10,53,.,.,1
1990,"Woodridge, Fort Lincoln, Gateway",Cluster 24,1-Jan-90,31-Dec-90,9,51,.,.,1
