timeframe,cluster2017,TotPop,TotPop_m,cluster2017_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
1990,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",14555,.,Cluster 13,1-Jan-90,31-Dec-90,13,12,17,3.7,86,5.3,4.6,14,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Cathedral Heights, McLean Gardens, Glover Park",17897,.,Cluster 14,1-Jan-90,31-Dec-90,7.6,16,22,4.6,82,8.7,4.9,26,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",14836,.,Cluster 15,1-Jan-90,31-Dec-90,9.6,19,19,5.8,82,8.4,3.6,11,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Colonial Village, Shepherd Park, North Portal Estates",4437,.,Cluster 16,1-Jan-90,31-Dec-90,18,17,6.1,72,25,0.9,1.5,25,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Takoma, Brightwood, Manor Park",20439,.,Cluster 17,1-Jan-90,31-Dec-90,19,16,12,88,5.3,4.9,1,46,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Brightwood Park, Crestwood, Petworth",37406,.,Cluster 18,1-Jan-90,31-Dec-90,19,17,11,88,6,5.2,0.5,54,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",13346,.,Cluster 19,1-Jan-90,31-Dec-90,16,15,3.9,84,13,1.8,0.8,53,.,.,.,.,.,.,.,.,X,X,X,1
1990,"North Michigan Park, Michigan Park, University Heights",12292,.,Cluster 20,1-Jan-90,31-Dec-90,15,15,4.7,80,17,1.9,0.8,45,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Edgewood, Bloomingdale, Truxton Circle, Eckington",25465,.,Cluster 21,1-Jan-90,31-Dec-90,19,19,4.1,82,15,1.8,0.9,57,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Brookland, Brentwood, Langdon",14573,.,Cluster 22,1-Jan-90,31-Dec-90,22,17,3.3,90,7.1,1.4,0.5,53,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Ivy City, Arboretum, Trinidad, Carver Langston",17797,.,Cluster 23,1-Jan-90,31-Dec-90,26,15,1.9,95,3.1,0.4,0.3,66,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Woodridge, Fort Lincoln, Gateway",6607,.,Cluster 24,1-Jan-90,31-Dec-90,17,27,3.2,95,3.2,1,0.1,38,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Union Station, Stanton Park, Kingman Park",25659,.,Cluster 25,1-Jan-90,31-Dec-90,18,13,2.9,75,23,1.8,0.5,57,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Capitol Hill, Lincoln Park",27468,.,Cluster 26,1-Jan-90,31-Dec-90,14,9.1,4.5,54,43,1.7,1.3,49,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Near Southeast, Navy Yard",2160,.,Cluster 27,1-Jan-90,31-Dec-90,23,15,0.6,83,17,0,0.3,89,.,.,.,.,.,.,.,.,X,X,X,1
1990,Historic Anacostia,5871,.,Cluster 28,1-Jan-90,31-Dec-90,32,7.5,1.8,96,2.8,0.8,0,72,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Eastland Gardens, Kenilworth",1221,.,Cluster 29,1-Jan-90,31-Dec-90,23,21,0,99,1.3,0,0,71,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Mayfair, Hillbrook, Mahaning Heights",6437,.,Cluster 30,1-Jan-90,31-Dec-90,30,12,1.1,99,0.3,0.6,0,69,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",14346,.,Cluster 31,1-Jan-90,31-Dec-90,27,14,1.3,98,0.4,0.7,0.3,65,.,.,.,.,.,.,.,.,X,X,X,1
1990,"River Terrace, Benning, Greenway, Dupont Park",13814,.,Cluster 32,1-Jan-90,31-Dec-90,24,13,0.5,98,0.8,1,0.3,65,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Capitol View, Marshall Heights, Benning Heights",21441,.,Cluster 33,1-Jan-90,31-Dec-90,29,11,0.7,99,0.4,0.3,0.1,68,.,.,.,.,.,.,.,.,X,X,X,1
